Sloka,Prose
kṛtvā niśśabdamekāgrā śśruṇvantu harayo mamatatvaṃ saṅkīrtayiṣyāmi yathā jānāmi maithilīm,harayaḥ maithilīm yathā jānāmi tatvam saṅkīrtayiṣyāmi niśśabdam kṛtvā ekāgrāḥ mama śruṇvantu
kāmaṃ vā svayamevādya tatra māṃ netumarhasiyatrāsau puruṣavyāghraḥ putro me tapyate tapaḥ,vā puruṣavyāghraḥ me putro asau yatra tapaḥ tapyate tatra svayameva adya mām kāmam netum arhasi
athatānsacivāṃstatrasarvānābhāṣyarāvaṇaḥ sabhāṃsannādayan sarvāmityuvācamahābalaḥ jagatsantāpankrūrogarhayanrākṣaseśvaraḥ,atha mahābalaḥ jagatsantāpanaḥ krūraḥ rākṣaseśvaraḥ rāvaṇaḥ tatra sarvān sacivān ābhāṣya sarvām sabhām saṃvādayan garhayan iti uvāca
taṃ mattamātaṅgavilāsagāmī gacchantamavyagramanā mahātmā sa lakṣmaṇo rāghavamapramatto rarakṣa dharmeṇa balena caiva,mattamātaṅgavilāsagāmī mahātmā saḥ lakṣmaṇaḥ gacchantam rāghavam apramatto avyagramanāḥ dharmeṇa balena caiva rarakṣa
itīva devī bahudhā vilapya sarvātmanā rāmamanusmarantīpravepamānā pariśuṣkavaktrā nagottamaṃ puṣpitamāsasāda,devī itīva bahudhā vilapya sarvātmanā rāmam anusmarantī pravepamānā pariśuṣkavaktrā puṣpitam nagottamam āsasāda
alambusā miśrakeśī puṇḍarīkā'tha vāmanāupānṛtyaṃstu bharataṃ bharadvājasya śāsanāt,atha bharadvājasya śāsanāt alambusā miśrakeśī puṇḍarīkā vāmanā bharatam upānṛtyan tu
sarvāstrāṇi bhṛśāśvasya putrā: paramadhārmikā:kauśikāya purā dattā yadā rājyaṃ praśāsati,bhṛśāśvasya paramadhārmikā: putrā: sarvāstrāṇi yadā purā rājyam praśāsati kauśikāya dattā:
oṣṭhaprakārairaparā vaktranetraistathāparāḥsītāmāśvāsayāmāsustarjitāṃ tena rakṣasā,tena rakṣasā tarjitām tām sītām aparāḥ oṣṭhaprakāraiḥ tathā aparāḥ vaktranetraiḥ āśvāsayāmāsuḥ
evamuktvātatastasyajalaklannenapāṇinā sugrīvasyaśubhenetrepramamārjavibhīṣaṇaḥ,vibhīṣaṇaḥ evam uktvā tataḥ jalaklinnena pāṇinā tasyasugrīvasya śubhe netre pramamārja
śrṛtvaivopasthitau vīrau kadāyodhyā bhaviṣyatiyaśasvinī hṛṣṭajanā sūcchritadhvajamālinī,vīrau upasthitau śrutvaiva yaśasvinī ayodhyā hṛṣṭajanā sūcchritadhvajamālinī kadā bhaviṣyati
